category,description,estimatedTime,imageName,ingredients,procedure,subcategory,title,times,isFavorite
dinner,Two hands (and napkins) required here. That’s what it takes to get a hold of this beefy BBQ brisket and coleslaw-filled sandwich dripping with sauce.,210.0,BBQ Beef Brisket Sandwiches with Coleslaw.jpg,"1 red onion, divided, 2 cups each shredded green and red cabbage, 1/4 cup MIRACLE WHIP Dressing, 1 bottle (19.5 oz.) Heinz BBQ Sauce Texas Bold & Spicy, divided, 1 Tbsp. oil, 1 beef brisket (3 lb.), trimmed, 1 can (14.5 oz.) fat-free reduced-sodium beef broth, 2 cloves garlic, minced, 12 kaiser roll s, partially split","1 red onion, divided, 2 cups each shredded green and red cabbage, 1/4 cup MIRACLE WHIP Dressing, 1 bottle (19.5 oz.) Heinz BBQ Sauce Texas Bold & Spicy, divided, 1 Tbsp. oil, 1 beef brisket (3 lb.), trimmed, 1 can (14.5 oz.) fat-free reduced-sodium beef broth, 2 cloves garlic, minced, 12 kaiser roll s, partially split",Dinner Recipes,BBQ Beef Brisket Sandwiches with Coleslaw,"1 red onion, divided, 2 cups each shredded green and red cabbage, 1/4 cup MIRACLE WHIP Dressing, 1 bottle (19.5 oz.) Heinz BBQ Sauce Texas Bold & Spicy, divided, 1 Tbsp. oil, 1 beef brisket (3 lb.), trimmed, 1 can (14.5 oz.) fat-free reduced-sodium beef broth, 2 cloves garlic, minced, 12 kaiser roll s, partially split",False
dinner,Enjoy tender perfection with our BBQ Grilled Ribs Recipe. Our BBQ Grilled Ribs Recipe is perfected with a chipotle and orange barbecue sauce. Your next barbecue is sure to be a super success with this handy recipe at the ready.,85.0,BBQ Grilled Ribs Recipe.jpg,"3 lb. pork baby back ribs, 1/2 cup water, 1 cup KRAFT Original Barbecue Sauce, 1/2 cup fresh cilantro leaves, 1 canned chipotle pepper in adobo sauce, 2 tsp. orange zest","3 lb. pork baby back ribs, 1/2 cup water, 1 cup KRAFT Original Barbecue Sauce, 1/2 cup fresh cilantro leaves, 1 canned chipotle pepper in adobo sauce, 2 tsp. orange zest",Dinner Recipes,BBQ Grilled Ribs Recipe,"3 lb. pork baby back ribs, 1/2 cup water, 1 cup KRAFT Original Barbecue Sauce, 1/2 cup fresh cilantro leaves, 1 canned chipotle pepper in adobo sauce, 2 tsp. orange zest",True
dinner,"This hearty BBQ Steakhouse Chili is made with tomatoes, beans and a pound each of beef top round steak and extra-lean ground beef.",450.0,BBQ Steakhouse Chili.jpg,"2 Tbsp. oil, 1 lb. beef top round steak, cut into 1/2-inch pieces, 1 lb. extra-lean ground beef, 1 onion, finely chopped, 1/4 cup A.1. Dry Rub Bold Original, 3 cloves garlic, minced, 2 cans (16 oz. each) kidney beans, rinsed, 2-1/2 cups undrained canned no-salt-added diced tomatoes, 1 bottle (18 oz.) KRAFT Hickory Smoke Barbecue Sauce, 3/4 cup KRAFT Shredded Cheddar Cheese","2 Tbsp. oil, 1 lb. beef top round steak, cut into 1/2-inch pieces, 1 lb. extra-lean ground beef, 1 onion, finely chopped, 1/4 cup A.1. Dry Rub Bold Original, 3 cloves garlic, minced, 2 cans (16 oz. each) kidney beans, rinsed, 2-1/2 cups undrained canned no-salt-added diced tomatoes, 1 bottle (18 oz.) KRAFT Hickory Smoke Barbecue Sauce, 3/4 cup KRAFT Shredded Cheddar Cheese",Dinner Recipes,BBQ Steakhouse Chili,"2 Tbsp. oil, 1 lb. beef top round steak, cut into 1/2-inch pieces, 1 lb. extra-lean ground beef, 1 onion, finely chopped, 1/4 cup A.1. Dry Rub Bold Original, 3 cloves garlic, minced, 2 cans (16 oz. each) kidney beans, rinsed, 2-1/2 cups undrained canned no-salt-added diced tomatoes, 1 bottle (18 oz.) KRAFT Hickory Smoke Barbecue Sauce, 3/4 cup KRAFT Shredded Cheddar Cheese",False
dinner,Please the whole table with this Deviled Flank Steak Recipe. Dijon mustard and hot pepper sauce are key ingredients in this Deviled Flank Steak Recipe.,30.0,Deviled Flank Steak Recipe.jpg,"1 beef flank steak (1 lb.), 1/4 cup A.1. Thick & Hearty Sauce, divided, 2 Tbsp. brown sugar, 2 Tbsp. GREY POUPON Dijon Mustard, 2 Tbsp. HEINZ Red Wine Vinegar, 2 Tbsp. lite soy sauce, 2 Tbsp. HEINZ Tomato Ketchup, 2 Tbsp. olive oil, 1/2 tsp. hot pepper sauce","1 beef flank steak (1 lb.), 1/4 cup A.1. Thick & Hearty Sauce, divided, 2 Tbsp. brown sugar, 2 Tbsp. GREY POUPON Dijon Mustard, 2 Tbsp. HEINZ Red Wine Vinegar, 2 Tbsp. lite soy sauce, 2 Tbsp. HEINZ Tomato Ketchup, 2 Tbsp. olive oil, 1/2 tsp. hot pepper sauce",Dinner Recipes,Deviled Flank Steak Recipe,"1 beef flank steak (1 lb.), 1/4 cup A.1. Thick & Hearty Sauce, divided, 2 Tbsp. brown sugar, 2 Tbsp. GREY POUPON Dijon Mustard, 2 Tbsp. HEINZ Red Wine Vinegar, 2 Tbsp. lite soy sauce, 2 Tbsp. HEINZ Tomato Ketchup, 2 Tbsp. olive oil, 1/2 tsp. hot pepper sauce",False
dinner,Make this Green Enchilada Pork Chili dish for game day. Tasty Tex-Mex flavor makes this Green Enchilada Pork Chili totally touchdown-worthy.,45.0,Green Enchilada Pork Chili.jpg,"1/4 cup KRAFT Zesty Italian Dressing, 1-1/2 lb. pork tenderloin, cut into bite-size pieces, 1 onion, chopped, 2 cloves garlic, minced, 1/4 cup chopped fresh cilantro, divided, 2 cans (15 oz. each) pinto beans, rinsed, divided, 1 jar (16 oz.) green salsa, 1 can (14.5 oz.) fat-free reduced-sodium chicken broth, 1 cup frozen corn, 2 cups coarsely crushed tortilla chips, ""1/2 cup BREAKSTONES or KNUDSEN Sour Cream"", 1/2 cup KRAFT Mexican Style Finely Shredded Four Cheese","1/4 cup KRAFT Zesty Italian Dressing, 1-1/2 lb. pork tenderloin, cut into bite-size pieces, 1 onion, chopped, 2 cloves garlic, minced, 1/4 cup chopped fresh cilantro, divided, 2 cans (15 oz. each) pinto beans, rinsed, divided, 1 jar (16 oz.) green salsa, 1 can (14.5 oz.) fat-free reduced-sodium chicken broth, 1 cup frozen corn, 2 cups coarsely crushed tortilla chips, ""1/2 cup BREAKSTONES or KNUDSEN Sour Cream"", 1/2 cup KRAFT Mexican Style Finely Shredded Four Cheese",Dinner Recipes,Green Enchilada Pork Chili,"1/4 cup KRAFT Zesty Italian Dressing, 1-1/2 lb. pork tenderloin, cut into bite-size pieces, 1 onion, chopped, 2 cloves garlic, minced, 1/4 cup chopped fresh cilantro, divided, 2 cans (15 oz. each) pinto beans, rinsed, divided, 1 jar (16 oz.) green salsa, 1 can (14.5 oz.) fat-free reduced-sodium chicken broth, 1 cup frozen corn, 2 cups coarsely crushed tortilla chips, ""1/2 cup BREAKSTONES or KNUDSEN Sour Cream"", 1/2 cup KRAFT Mexican Style Finely Shredded Four Cheese",False
dinner,Please the whole table with this delicious Grilled Tacos al Pastor Recipe! Ground cumin and chilis add heat to our Grilled Tacos al Pastor Recipe.,20.0,Grilled Tacos al Pastor Recipe.jpg,"2/3 cup KRAFT Zesty Italian Dressing, 8 guajillo chiles, stemmed, seeded, 8 dried pasilla chiles, stemmed, seeded, 1/4 tsp. ground cumin, 1-1/2 lb. pork shoulder, cut into thin slices, then into 1/2-inch-wide strips, 1 cup fresh pineapple chunks (1/2 inch), 1 fully ripe avocado, 2 Tbsp. KRAFT Real Mayo Mayonnaise, 1 serrano chile, stemmed, seeded, 2 doz. mini corn tortillas (4 inch), 1/3 cup chopped onions, 1/3 cup chopped fresh cilantro, 2 limes, cut into wedges","2/3 cup KRAFT Zesty Italian Dressing, 8 guajillo chiles, stemmed, seeded, 8 dried pasilla chiles, stemmed, seeded, 1/4 tsp. ground cumin, 1-1/2 lb. pork shoulder, cut into thin slices, then into 1/2-inch-wide strips, 1 cup fresh pineapple chunks (1/2 inch), 1 fully ripe avocado, 2 Tbsp. KRAFT Real Mayo Mayonnaise, 1 serrano chile, stemmed, seeded, 2 doz. mini corn tortillas (4 inch), 1/3 cup chopped onions, 1/3 cup chopped fresh cilantro, 2 limes, cut into wedges",Dinner Recipes,Grilled Tacos al Pastor Recipe,"2/3 cup KRAFT Zesty Italian Dressing, 8 guajillo chiles, stemmed, seeded, 8 dried pasilla chiles, stemmed, seeded, 1/4 tsp. ground cumin, 1-1/2 lb. pork shoulder, cut into thin slices, then into 1/2-inch-wide strips, 1 cup fresh pineapple chunks (1/2 inch), 1 fully ripe avocado, 2 Tbsp. KRAFT Real Mayo Mayonnaise, 1 serrano chile, stemmed, seeded, 2 doz. mini corn tortillas (4 inch), 1/3 cup chopped onions, 1/3 cup chopped fresh cilantro, 2 limes, cut into wedges",False
dinner,"The secret ingredient in this scrumptious, quick grilled salmon dish? Maple syrup. Grill now, thank us later.",15.0,High-Speed Salmon Grill.jpg,"1/4 cup KRAFT Thick & Spicy Barbecue Sauce, 2 Tbsp. maple-flavored or pancake syrup, 1/4 tsp. orange zest, 1 skin-on salmon fillet (1 lb.), 1 Tbsp. chopped fresh basil","1/4 cup KRAFT Thick & Spicy Barbecue Sauce, 2 Tbsp. maple-flavored or pancake syrup, 1/4 tsp. orange zest, 1 skin-on salmon fillet (1 lb.), 1 Tbsp. chopped fresh basil",Dinner Recipes,High-Speed Salmon Grill,"1/4 cup KRAFT Thick & Spicy Barbecue Sauce, 2 Tbsp. maple-flavored or pancake syrup, 1/4 tsp. orange zest, 1 skin-on salmon fillet (1 lb.), 1 Tbsp. chopped fresh basil",False
dinner,How happy will you be one hectic weeknight when you remember that you made this Make-Ahead Smoky Chipotle Chicken Chili? Our prediction: very happy!,1.0,Make-Ahead Smoky Chipotle Chicken Chili.jpg,"1 lb. lean ground chicken, 1 yellow onion, chopped, 2 cloves garlic, minced, 1 can (28 oz.) diced tomatoes, undrained, 1 can (15.5 oz.) black beans, rinsed, 1 green pepper, chopped, 1/3 cup KRAFT Sweet & Spicy Barbecue Sauce, 1 Tbsp. chili powder, 1 tsp. chipotle chile pepper powder, 1/4 cup chopped fresh cilantro, 3/4 cup KRAFT Mexican Style Shredded Four Cheese with a TOUCH OF PHILADELPHIA, 2 green onions, chopped","1 lb. lean ground chicken, 1 yellow onion, chopped, 2 cloves garlic, minced, 1 can (28 oz.) diced tomatoes, undrained, 1 can (15.5 oz.) black beans, rinsed, 1 green pepper, chopped, 1/3 cup KRAFT Sweet & Spicy Barbecue Sauce, 1 Tbsp. chili powder, 1 tsp. chipotle chile pepper powder, 1/4 cup chopped fresh cilantro, 3/4 cup KRAFT Mexican Style Shredded Four Cheese with a TOUCH OF PHILADELPHIA, 2 green onions, chopped",Dinner Recipes,Make-Ahead Smoky Chipotle Chicken Chili,"1 lb. lean ground chicken, 1 yellow onion, chopped, 2 cloves garlic, minced, 1 can (28 oz.) diced tomatoes, undrained, 1 can (15.5 oz.) black beans, rinsed, 1 green pepper, chopped, 1/3 cup KRAFT Sweet & Spicy Barbecue Sauce, 1 Tbsp. chili powder, 1 tsp. chipotle chile pepper powder, 1/4 cup chopped fresh cilantro, 3/4 cup KRAFT Mexican Style Shredded Four Cheese with a TOUCH OF PHILADELPHIA, 2 green onions, chopped",False
dinner,"Horseradish and steak sauce give this hearty salad its steakhouse appeal. (Oh, and the strips of tender beef sirloin steak add to that, as well!)",25.0,Steakhouse Salad.jpg,"1 beef sirloin steak (3/4 lb.), 3/4 inch thick, 2 Tbsp. A.1. Original Sauce, 1/4 cup KRAFT Mayo with Olive Oil Reduced Fat Mayonnaise, 1/4 cup KRAFT Lite Ranch Dressing, 2 tsp. KRAFT Prepared Horseradish, 8 cups loosely packed chopped romaine lettuce, 1 tomato, cut into wedges, 1 small red onion, cut into thin wedges, 1/2 cup KRAFT 2% Milk Shredded Sharp Cheddar Cheese","1 beef sirloin steak (3/4 lb.), 3/4 inch thick, 2 Tbsp. A.1. Original Sauce, 1/4 cup KRAFT Mayo with Olive Oil Reduced Fat Mayonnaise, 1/4 cup KRAFT Lite Ranch Dressing, 2 tsp. KRAFT Prepared Horseradish, 8 cups loosely packed chopped romaine lettuce, 1 tomato, cut into wedges, 1 small red onion, cut into thin wedges, 1/2 cup KRAFT 2% Milk Shredded Sharp Cheddar Cheese",Dinner Recipes,Steakhouse Salad,"1 beef sirloin steak (3/4 lb.), 3/4 inch thick, 2 Tbsp. A.1. Original Sauce, 1/4 cup KRAFT Mayo with Olive Oil Reduced Fat Mayonnaise, 1/4 cup KRAFT Lite Ranch Dressing, 2 tsp. KRAFT Prepared Horseradish, 8 cups loosely packed chopped romaine lettuce, 1 tomato, cut into wedges, 1 small red onion, cut into thin wedges, 1/2 cup KRAFT 2% Milk Shredded Sharp Cheddar Cheese",False
dinner,Make a creamy beef stroganoff skillet with VELVEETA! This 5-star VELVEETA Creamy Beef Stroganoff Skillet is a win-win dinner option for the whole family.,20.0,VELVEETA Creamy Beef Stroganoff Skillet.jpg,"1 lb. lean ground beef, 1 cup sliced fresh mushrooms, 1-1/4 cups milk, 1 cup water, 1 pkg. (11.6 oz.) VELVEETA CHEESY SKILLETS Dinner Kit Creamy Beef Stroganoff","1 lb. lean ground beef, 1 cup sliced fresh mushrooms, 1-1/4 cups milk, 1 cup water, 1 pkg. (11.6 oz.) VELVEETA CHEESY SKILLETS Dinner Kit Creamy Beef Stroganoff",Dinner Recipes,VELVEETA Creamy Beef Stroganoff Skillet,"1 lb. lean ground beef, 1 cup sliced fresh mushrooms, 1-1/4 cups milk, 1 cup water, 1 pkg. (11.6 oz.) VELVEETA CHEESY SKILLETS Dinner Kit Creamy Beef Stroganoff",False
dinner,"Impress the whole table with our Bacon-Wrapped Stuffed Pork Loin. Don't worry, Bacon-Wrapped Stuffed Pork Loin isn't as difficult to prepare as it appears.",50.0,Bacon-Wrapped Stuffed Pork Loin.jpg,"1/2 cup peach preserves, 1 (or more if desired) canned chipotle peppers in adobo sauce, finely diced, 1 large garlic clove, crushed, 1 pork tenderloin (1 lb.), 8 oz. pork Mexican chorizo sausage, 1 tub (8 oz.) PHILADELPHIA Garden Vegetable Cream Cheese Spread, 3 oz. KRAFT Mexican Style Finely Shredded Four Cheese, 1 lb. sliced bacon, divided, 1/3 cup brown sugar, dash ground black pepper","1/2 cup peach preserves, 1 (or more if desired) canned chipotle peppers in adobo sauce, finely diced, 1 large garlic clove, crushed, 1 pork tenderloin (1 lb.), 8 oz. pork Mexican chorizo sausage, 1 tub (8 oz.) PHILADELPHIA Garden Vegetable Cream Cheese Spread, 3 oz. KRAFT Mexican Style Finely Shredded Four Cheese, 1 lb. sliced bacon, divided, 1/3 cup brown sugar, dash ground black pepper",Dinner Recipes,Bacon-Wrapped Stuffed Pork Loin,"1/2 cup peach preserves, 1 (or more if desired) canned chipotle peppers in adobo sauce, finely diced, 1 large garlic clove, crushed, 1 pork tenderloin (1 lb.), 8 oz. pork Mexican chorizo sausage, 1 tub (8 oz.) PHILADELPHIA Garden Vegetable Cream Cheese Spread, 3 oz. KRAFT Mexican Style Finely Shredded Four Cheese, 1 lb. sliced bacon, divided, 1/3 cup brown sugar, dash ground black pepper",False
